date,cases,total_tests,County,pos_rate
2021-04-02,62.0,1498.0,Stanislaus,0.04138851802403204
2021-04-03,45.0,794.0,Stanislaus,0.05667506297229219
2021-04-04,35.0,747.0,Stanislaus,0.04685408299866131
2021-04-05,93.0,3535.0,Stanislaus,0.02630834512022631
2021-04-06,80.0,2218.0,Stanislaus,0.03606853020739405
2021-04-07,56.0,2039.0,Stanislaus,0.02746444335458558
2021-04-08,68.0,1957.0,Stanislaus,0.03474706182933061
2021-04-09,78.0,1608.0,Stanislaus,0.048507462686567165
2021-04-10,55.0,809.0,Stanislaus,0.06798516687268233
2021-04-11,35.0,1008.0,Stanislaus,0.034722222222222224
2021-04-12,83.0,3756.0,Stanislaus,0.02209797657082002
2021-04-13,66.0,2421.0,Stanislaus,0.027261462205700124
2021-04-14,72.0,2108.0,Stanislaus,0.03415559772296015
2021-04-15,71.0,2026.0,Stanislaus,0.03504442250740375
2021-04-16,54.0,1821.0,Stanislaus,0.029654036243822075
2021-04-17,48.0,778.0,Stanislaus,0.061696658097686374
2021-04-18,37.0,1424.0,Stanislaus,0.02598314606741573
2021-04-19,82.0,3313.0,Stanislaus,0.024750980984002413
2021-04-20,76.0,2421.0,Stanislaus,0.03139198678232136
2021-04-21,65.0,2637.0,Stanislaus,0.02464922260144103
2021-04-22,61.0,2168.0,Stanislaus,0.028136531365313654
